,country,2000,2100,diff,Рівень населення
175,French Polynesia,240.681,261.545,20.864000000000004,зросте
176,Niue,1.902,1.726,-0.17599999999999993,впаде
177,Samoa,174.454,310.106,135.652,зросте
178,Tokelau,1.55,1.456,-0.09400000000000008,впаде
179,Tonga,97.962,138.261,40.29899999999999,зросте
180,Tuvalu,9.392,20.008,10.616,зросте
181,Wallis and Futuna Islands,14.697,5.558,-9.139,впаде
182,Belarus,9871.635,7429.673,-2441.9620000000004,впаде
183,Bulgaria,7997.951,3588.337,-4409.614,впаде
184,Czechia,10289.374,10274.07,-15.304000000000087,впаде
185,Hungary,10220.509,6856.92,-3363.589,впаде
186,Poland,38556.699,23032.569,-15524.130000000001,впаде
187,Republic of Moldova,4202.659,2011.568,-2191.0909999999994,впаде
188,Romania,22137.423,11877.961,-10259.462,впаде
189,Russian Federation,146404.89,126142.651,-20262.239000000016,впаде
190,Slovakia,5399.207,3829.211,-1569.9960000000005,впаде
191,Ukraine,48838.058,24413.452,-24424.605999999996,впаде
192,Channel Islands,148.439,222.514,74.07500000000002,зросте
193,Denmark,5341.192,6872.907,1531.7150000000001,зросте
194,Estonia,1399.111,837.72,-561.3910000000001,впаде
195,Faroe Islands,46.738,55.097,8.359000000000002,зросте
196,Finland,5187.953,5254.37,66.41699999999946,зросте
197,Iceland,280.439,353.291,72.85199999999998,зросте
198,Ireland,3783.095,5684.962,1901.8670000000006,зросте
199,Isle of Man,76.942,96.202,19.260000000000005,зросте
200,Latvia,2384.15,1114.401,-1269.749,впаде
201,Lithuania,3501.842,1524.086,-1977.756,впаде
202,Norway,4499.375,7952.927,3453.5519999999997,зросте
203,Sweden,8881.642,13022.532,4140.889999999999,зросте
204,United Kingdom,58923.305,78053.263,19129.958000000006,зросте
205,Albania,3129.246,1088.338,-2040.9080000000001,впаде
206,Andorra,65.39,62.406,-2.9840000000000018,впаде
207,Bosnia and Herzegovina,3751.176,1641.054,-2110.122,впаде
208,Croatia,4428.075,2183.314,-2244.761,впаде
209,Gibraltar,31.081,27.242,-3.8389999999999986,впаде
210,Greece,11082.103,6583.364,-4498.739,впаде
211,Holy See,0.79,0.797,0.007000000000000006,зросте
212,Italy,56692.178,39992.91,-16699.267999999996,впаде
213,Malta,393.649,357.732,-35.91699999999997,впаде
214,Montenegro,613.558,453.656,-159.902,впаде
215,North Macedonia,2034.823,1249.361,-785.462,впаде
216,Portugal,10297.117,6984.955,-3312.1620000000003,впаде
217,San Marino,27.46,29.693,2.2330000000000005,зросте
218,Serbia,9487.612,4217.425,-5270.186999999999,впаде
219,Slovenia,1987.71,1676.264,-311.44600000000014,впаде
220,Spain,40824.745,33209.856,-7614.889000000003,впаде
221,Austria,8069.276,8676.844,607.5679999999993,зросте
222,Belgium,10282.046,12492.831,2210.785,зросте
223,France,59015.092,65497.773,6482.681000000004,зросте
224,Germany,81400.883,74740.596,-6660.286999999997,впаде
